"location","pvalue","duration","EffectSize","treatment_start","Investment","cpic","ScaledL2Imbalance","att_estimator","detected_lift","power"
"milwaukee, orlando, saint paul",0.79,4,0,87,0,1,0.353086695284664,-3.53839038074057,-0.000857731641014798,0
"milwaukee, orlando, saint paul",0.025,4,0.05,87,2473.05,1,0.353086695284664,202.54910961926,0.0490993817769346,1
"milwaukee, orlando, saint paul",0,4,0.08,87,3956.88,1,0.353086695284664,326.20160961926,0.0790736498277042,1
"milwaukee, orlando, saint paul",0,4,0.1,87,4946.1,1,0.353086695284664,408.63660961926,0.0990564951948838,1
"milwaukee, orlando, saint paul",0,4,0.15,87,7419.15,1,0.353086695284664,614.724109619259,0.149013608612833,1
"milwaukee, orlando, saint paul",0,4,0.2,87,9892.2,1,0.353086695284664,820.811609619259,0.198970722030782,1
